에잇;아이유(IU);/에잇(Prod.&Feat. SUGA of BTS)
Dynamite (DayTime Version);방탄소년단;/Dynamite/Dynamite (Instrumental)/Dynamite (Acoustic Remix)/Dynamite (EDM Remix)/Dynamite (Tropical Remix)/Dynamite (Poolside Remix)
아무노래;지코;/아무노래
슬기로운 의사생활 OST Part 3;조정석;/아로하/아로하 (Inst.)
‘The ReVe Festival’ Finale;Red Velvet (레드벨벳);/Psycho/In & Out/Remember Forever/눈 맞추고, 손 맞대고 (Eyes Locked, Hands Locked)/Ladies Night/Jumpin'/Love Is The Way/카풀 (Carpool)/음파음파 (Umpah Umpah)/LP/안녕, 여름 (Parade)/친구가 아냐 (Bing Bing)/Milkshake/Sunny Side Up!/짐살라빔 (Zimzalabim)/La Rouge (Special Track)
Boyhood;창모(CHANGMO);/빌었어/METEOR/위업 (Feat. Okasian, UNEDUCATED KID)/2 minutes of hell (Feat. Paul Blanco)/더 위로/Dearlove (skit)/세레나데/031576 (Feat. KIRIN)/REMEDY (Feat. 청하 (CHUNG HA))/meet me in Toronto (Feat. Paul Blanco)/Hotel Walkerhill (Feat. Hash Swan)/S T A R T
NONSTOP;오마이걸(OH MY GIRL);/살짝 설렜어 (Nonstop)/Dolphin/꽃차 (Flower Tea)/NE♡N/Krystal
NONSTOP;오마이걸(OH MY GIRL);/살짝 설렜어 (Nonstop)/Dolphin/꽃차 (Flower Tea)/NE♡N/Krystal
How You Like That;BLACKPINK;/How You Like That
이태원 클라쓰 OST Part.2;가호(Gaho);/시작/시작 (Inst.)
Every letter I sent you.;백예린 (Yerin Baek);/Intro/Rest/Popo (How deep is our love?)/can i b u/Meant to be/Mr.gloomy/lovelovelove/Bunny/0310/Berlin/Datoom/Not a girl/Newsong2/Amy/True lover/Point (Feat. Loopy)/Square (2017)/London
슬기로운 의사생활 OST Part 2;조이 (JOY);/좋은 사람 있으면 소개시켜줘/좋은 사람 있으면 소개시켜줘 (Inst.)
사랑의 불시착 OST Part 11;아이유(IU);/마음을 드려요/마음을 드려요 (Inst.)
María;화사(Hwa Sa);/Intro : Nobody else/마리아 (Maria)/Kidding/WHY/I’m bad too (Feat. DPR LIVE)/LMM
항해;AKMU (악동뮤지션);/뱃노래/물 만난 물고기/어떻게 이별까지 사랑하겠어, 널 사랑하는 거지/달/FREEDOM/더 사랑해줄걸/고래/밤 끝없는 밤/작별 인사/시간을 갖자
다시 여기 바닷가;싹쓰리 (유두래곤, 린다G, 비룡);/다시 여기 바닷가/다시 여기 바닷가 (Inst.)
IT'z ME;ITZY (있지);/WANNABE/TING TING TING with Oliver Heldens/THAT’S A NO NO/NOBODY LIKE YOU/YOU MAKE ME/I DON’T WANNA DANCE/24HRS
THE ALBUM;BLACKPINK;/Pretty Savage/Bet You Wanna (Feat. Cardi B)/Lovesick Girls/Crazy Over You/Love To Hate Me/You Never Know
어떻게 지내;오반 (OVAN);/어떻게 지내 (Prod. By VAN.C)/어떻게 지내 (Prod. By VAN.C) (Inst.)
늦은 밤 너의 집 앞 골목길에서;노을;/늦은 밤 너의 집 앞 골목길에서/늦은 밤 너의 집 앞 골목길에서 (Inst.)
BLOOM*IZ;IZ*ONE(아이즈원);/EYES/FIESTA/DREAMLIKE/AYAYAYA/SO CURIOUS/SPACESHIP/우연이 아니야/YOU & I/DAYDREAM/PINK BLUSHER/언젠가 우리의 밤도 지나가겠죠/OPEN YOUR EYES
슬기로운 의사생활 OST Part 11;우효(Oohyo);/사노라면/사랑하게 될 줄 알았어
취기를 빌려 (취향저격 그녀 X 산들);산들;/취기를 빌려 (취향저격 그녀 X 산들)/취기를 빌려 (취향저격 그녀 X 산들) (Inst.)
reality in BLACK;마마무(Mamamoo);/우린 결국 다시 만날 운명이었지 (Destiny)/Universe/열 밤 (Ten Nights)/HIP/4x4ever/Better/Hello Mama/심심해 (ZzZz)/rEALITY/춤을 춰 (High Tension)/I’m Your Fan/HIP (Inst.)
Love poem;아이유(IU);/unlucky/그 사람/Blueming/시간의 바깥/자장가/Love poem
에이프릴(APRIL) 7th Mini Album 'Da Capo';에이프릴(APRIL);/Oops I’m Sorry/인형/LALALILALA/1,2,3,4/너.zip
사랑의 불시착 OST Part 4;백예린 (Yerin Baek);/다시 난, 여기/다시 난, 여기 (Inst.)
When We Disco;박진영;/When We Disco (Duet with 선미)
DON'T TOUCH ME;환불원정대;/DON'T TOUCH ME
이태원 클라쓰 OST Part.3;하현우(국카스텐);/돌덩이/돌덩이 (Inst.)
이태원 클라쓰 OST Part.6;김필(Kim Feel);/그때 그 아인/그때 그 아인 (Inst.)
잠이 오질 않네요;장범준;/잠이 오질 않네요
NUNA;제시(Jessi);/눈누난나 (NUNU NANA)/STAR/Put it on ya (Feat. BM of KARD, nafla)/Numb/Who Dat B/Drip (Feat. 박재범)
슬기로운 의사생활 OST Part 4;규현 (KYUHYUN);/화려하지 않은 고백/화려하지 않은 고백 (Inst.)
홀로;이하이;/홀로
보라빛 밤 (pporappippam);선미;/보라빛 밤 (pporappippam)
MORE & MORE;TWICE (트와이스);/MORE & MORE/OXYGEN/FIREWORK/MAKE ME GO/SHADOW/DON’T CALL ME AGAIN/SWEET SUMMER DAY
Not Shy;ITZY (있지);/Not Shy/Don’t Give A What/Louder/iD/SURF/Be In Love
사춘기집Ⅱ 꽃 본 나비;볼빨간사춘기;/빈칸을 채워주시오/품/나비와 고양이 (feat. 백현 (BAEKHYUN))/카운슬링/민들레
LOOK;Apink (에이핑크);/덤더럼(Dumhdurum)/Yummy/Be Myself/Love is Blind/Overwrite/너의 모든 순간을 사랑해/Everybody Ready?
슬기로운 의사생활 OST Part 5;어반자카파;/그대 고운 내사랑/그대 고운 내사랑 (Inst.)
덤디덤디 (DUMDi DUMDi);(여자)아이들;/덤디덤디 (DUMDi DUMDi)
CEREMONIA;엠씨더맥스 (M.C the MAX);/처음처럼/One Love (20th Edition)/처음처럼 (Inst.)
Nerdy Love (Feat. 백예린);pH-1;/Nerdy Love (Feat. 백예린)
MAP OF THE SOUL : 7;방탄소년단;/Intro : Persona/작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)/Make It Right/Jamais Vu/Dionysus/Interlude : Shadow/Black Swan/Filter/시차/Louder than bombs/ON/욱 (UGH!)/00:00 (Zero O’Clock)/Inner Child/친구/Moon/Respect/We are Bulletproof : the Eternal/Outro : Ego/ON (Feat. Sia) (Digital Only)
RANDOM BOX;지코;/Summer Hate (Feat. 비)/만화영화 (Cartoon)/웬수 (Feat. BIBI)/No you can't/Roommate
Eyes wide open;TWICE (트와이스);/I CAN’T STOP ME/HELL IN HEAVEN/UP NO MORE/DO WHAT WE LIKE/BRING IT BACK/BELIEVER/QUEEN/GO HARD/SHOT CLOCK/HANDLE IT/DEPEND ON YOU/SAY SOMETHING/BEHIND THE MASK
그 여름을 틀어줘;싹쓰리 (유두래곤, 린다G, 비룡);/그 여름을 틀어줘/그 여름을 틀어줘 (Inst.)
내일은 미스터트롯 우승자 특전곡;임영웅;/이제 나만 믿어요/이제 나만 믿어요 (Inst.)
I-LAND Part.1 Signal Song;아이유(IU);/Into the I-LAND
사춘기집Ⅱ 꽃 본 나비;볼빨간사춘기;/빈칸을 채워주시오/품/나비와 고양이 (feat. 백현 (BAEKHYUN))/카운슬링/민들레
